;Вовк;Удав;Лисиця;Ведмідь;Орел;Кінь;Олень;Кролик;Миша;Коза;Вівця;Кабан;Буйвол;Качка;Гусінь;Рослини
Вовк;-;0;0;0;0;10;15;60;80;60;70;15;10;40;0;0
Удав;0;-;15;0;0;0;0;20;40;0;0;0;0;10;0;0
Лисиця;0;0;-;0;0;0;0;70;90;0;0;0;0;60;40;0
Ведмідь;0;80;0;-;0;40;80;80;90;70;70;50;20;10;0;0
Орел;0;0;10;0;-;0;0;90;90;0;0;0;0;80;0;0
Кінь;0;0;0;0;0;-;0;0;0;0;0;0;0;0;0;100
Олень;0;0;0;0;0;0;-;0;0;0;0;0;0;0;0;100
Кролик;0;0;0;0;0;0;0;-;0;0;0;0;0;0;0;100
Миша;0;0;0;0;0;0;0;0;-;0;0;0;0;0;90;100
Коза;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0;100
Вівця;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0;100
Кабан;0;0;0;0;0;0;0;0;50;0;0;-;0;0;90;100
Буйвол;0;0;0;0;0;0;0;0;0;0;0;0;-;0;0;100
Качка;0;0;0;0;0;0;0;0;0;0;0;0;0;-;90;100
Гусінь;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;100
